,city,status,date,lat,lon
359,Айнажи,rescued,1944-09-25,57.86361,24.35861
360,Белгород-Днестровский,occupied,1941-07-28,46.11,30.2
361,Белгород-Днестровский,rescued,1944-08-22,46.11,30.2
362,Алагир,occupied,1942-11-01,43.04167,44.21056
363,Алагир,rescued,1942-12-24,43.04167,44.21056
364,Александрия,occupied,1941-08-06,48.4124,33.0619
365,Александрия,rescued,1943-12-06,48.4124,33.0619
366,Алексин,occupied,1941-11-29,54.5,37.06667
367,Алексин,rescued,1941-12-17,54.5,37.06667
369,Алитус,rescued,1944-07-15,54.40139,24.04917
370,Алуксне,occupied,1941-07-05,57.42389,27.05028
371,Алуксне,rescued,1944-08-19,57.42389,27.05028
372,Алупка,occupied,1941-11-08,44.41972,34.04306
373,Алупка,rescued,1944-04-16,44.41972,34.04306
374,Алушта,occupied,1941-11-04,44.66722,34.39778
375,Алушта,rescued,1944-04-15,44.66722,34.39778
376,Ананьев,occupied,1941-08-07,47.4302,29.5832
377,Ананьев,rescued,1944-04-01,47.4302,29.5832
378,Анапа,occupied,1942-08-31,44.893857,37.317481
379,Анапа,rescued,1943-09-21,44.893857,37.317481
380,Каменногорск,occupied,1941-08-14,60.95081,29.130882
381,Каменногорск,rescued,1944-09-24,60.95081,29.130882
382,Антсла,occupied,1941-07-06,57.83333,26.53333
383,Антсла,rescued,1944-08-13,57.83333,26.53333
384,Апе,occupied,1941-07-05,57.53917,26.69278
385,Апе,rescued,1944-08-27,57.53917,26.69278
386,Апостолово,occupied,1941-08-17,47.659549603811,33.717010833357
387,Апостолово,rescued,1944-02-05,47.659549603811,33.717010833357
388,Армавир,occupied,1942-08-07,45.0,41.07
389,Армавир,rescued,1943-01-24,45.0,41.07
390,Артемовск,occupied,1941-11-01,48.60444,38.00667
391,Артемовск,rescued,1943-09-05,48.60444,38.00667
394,Балвы,occupied,1941-07-04,57.12917,27.26667
395,Балвы,rescued,1944-07-30,57.12917,27.26667
396,Балта,occupied,1941-08-04,47.93611,29.6225
397,Балта,rescued,1944-03-29,47.93611,29.6225
398,Бар,occupied,1941-07-16,49.0441,27.4059
399,Бар,rescued,1944-03-25,49.0441,27.4059
400,Барановичи,occupied,1941-06-27,53.11667,25.98333
401,Барановичи,rescued,1944-07-08,53.11667,25.98333
404,Батайск,occupied,1942-07-27,47.13333,39.75
405,Батайск,rescued,1943-02-07,47.13333,39.75
406,Бауска,occupied,1941-06-28,56.40667,24.1875
407,Бауска,rescued,1944-09-14,56.40667,24.1875
408,Бахмач,occupied,1941-09-13,51.18,32.82694
409,Бахмач,rescued,1943-09-09,51.18,32.82694
410,Бахчисарай,occupied,1941-11-01,44.75278,33.86083
411,Бахчисарай,rescued,1944-04-14,44.75278,33.86083
412,Белая церковь,occupied,1941-07-16,49.79556,30.11667
413,Белая церковь,rescued,1944-01-04,49.79556,30.11667
414,Белев,occupied,1941-10-23,53.8,36.13333
415,Белев,rescued,1941-12-31,53.8,36.13333
416,Белополье,occupied,1941-10-08,51.153231219176,34.302536567278
417,Белополье,rescued,1943-09-03,51.153231219176,34.302536567278
418,Бельцы,occupied,1941-07-07,47.76167,27.92889
419,Бельцы,rescued,1944-03-26,47.76167,27.92889
420,Белый,occupied,1941-10-04,55.5,32.56
421,Белый,rescued,1943-03-10,55.5,32.56
422,Бендеры,occupied,1941-07-21,46.83056,29.47111
423,Бендеры,rescued,1944-08-23,46.83056,29.47111
424,Бердичев,occupied,1941-07-07,49.89194,28.6
425,Бердичев,rescued,1944-01-05,49.89194,28.6
426,Бережаны,occupied,1941-07-03,49.44611,24.93861
427,Бережаны,rescued,1944-07-22,49.44611,24.93861
428,Береза,occupied,1941-06-23,52.33,24.58
429,Береза,rescued,1944-07-15,52.33,24.58
430,Берестечко,occupied,1941-06-24,50.35,25.11667
431,Берестечко,rescued,1944-04-02,50.35,25.11667
432,Берислав,occupied,1941-08-29,46.83333,33.41667
433,Берислав,rescued,1944-03-11,46.83333,33.41667
434,Бобринец,occupied,1941-08-06,48.05778,32.15806
435,Бобринец,rescued,1944-03-16,48.05778,32.15806
436,Бобрка,occupied,1941-07-01,49.63583,24.29361
437,Бобрка,rescued,1944-07-27,49.63583,24.29361
438,Бобруйск,occupied,1941-06-28,53.1,29.21667
439,Бобруйск,rescued,1944-06-29,53.1,29.21667
440,Богородицк,occupied,1941-11-15,53.76667,38.13333
441,Богородицк,rescued,1941-12-15,53.76667,38.13333
442,Богуслав,occupied,1941-07-26,49.33,30.53
443,Богуслав,rescued,1944-02-03,49.33,30.53
444,Богучар,occupied,1942-07-10,49.93333,40.55
445,Богучар,rescued,1942-12-19,49.93333,40.55
446,Антрацит,occupied,1942-07-19,48.07,39.05
447,Антрацит,rescued,1943-02-20,48.07,39.05
448,Болград,occupied,1941-07-20,45.68444,28.61278
449,Болград,rescued,1944-08-24,45.68444,28.61278
450,Болехов,occupied,1941-07-03,49.06694,23.85139
451,Болехов,rescued,1944-08-07,49.06694,23.85139
452,Болхов,occupied,1941-10-09,53.45,36
453,Болхов,rescued,1943-07-28,53.45,36
454,Токмак,occupied,1941-10-07,47.1505,35.4221
455,Токмак,rescued,1943-09-20,47.1505,35.4221
456,Борислав,occupied,1941-07-01,49.1721,23.2508
457,Борислав,rescued,1944-08-07,49.1721,23.2508
458,Борисов,occupied,1941-07-02,54.14,28.3
459,Борисов,rescued,1944-07-01,54.14,28.3
460,Боровск,occupied,1941-10-15,55.2,36.48333
461,Боровск,rescued,1942-01-04,55.2,36.48333
462,Браслав,occupied,1941-06-27,55.64333,27.06139
463,Браслав,rescued,1944-07-06,55.64333,27.06139
464,Броды,occupied,1941-06-30,50.07806,25.15417
465,Броды,rescued,1944-07-17,50.07806,25.15417
466,Брянск,occupied,1941-10-06,53.25,34.36667
467,Брянск,rescued,1943-09-17,53.25,34.36667
468,Будённовск,occupied,1942-08-18,44.79,44.14
469,Будённовск,rescued,1943-01-10,44.79,44.14
470,Буск,occupied,1941-06-30,49.96667,24.61667
471,Буск,rescued,1944-07-18,49.96667,24.61667
472,Валга,occupied,1941-07-10,57.78333,26.03333
473,Валга,rescued,1944-09-19,57.78333,26.03333
474,Валдемарпилс,occupied,1941-07-03,57.37056,22.59194
475,Валдемарпилс,rescued,1945-05-10,57.37056,22.59194
476,Валка,occupied,1941-07-10,57.77528,26.02139
477,Валка,rescued,1944-09-19,57.77528,26.02139
478,Валмиера,occupied,1941-07-04,57.53806,25.42306
479,Валмиера,rescued,1944-09-24,57.53806,25.42306
480,Валуйки,occupied,1942-07-06,50.18333,38.11667
481,Валуйки,rescued,1943-01-19,50.18333,38.11667
482,Вапнярка,occupied,1941-07-22,48.32,28.45
483,Вапнярка,rescued,1944-03-16,48.32,28.45
484,Варакляны,occupied,1941-07-01,56.60778,26.755
485,Варакляны,rescued,1944-08-02,56.60778,26.755
486,Васильков,occupied,1941-07-31,50.1775,30.32167
487,Васильков,rescued,1943-11-06,50.1775,30.32167
488,Вашковцы,occupied,1941-07-06,48.2231,25.2952
489,Вашковцы,rescued,1944-03-31,48.2231,25.2952
490,Велиж,occupied,1941-07-14,55.6,31.2
491,Велиж,rescued,1943-09-20,55.6,31.2
492,Венёв,occupied,1941-11-24,54.35,38.26667
493,Венёв,rescued,1941-12-09,54.35,38.26667
494,Вентспилс,occupied,1941-06-27,57.38972,21.56444
495,Вентспилс,rescued,1945-05-10,57.38972,21.56444
496,Вердино,occupied,1941-07-15,55.44,32.3025
497,Вердино,rescued,1943-07-30,55.44,32.3025
498,Верея,occupied,1941-10-18,55.33333,36.18333
499,Верея,rescued,1942-01-19,55.33333,36.18333
500,Верхнеднепровск,occupied,1941-08-15,48.649772426607,34.330483883076
501,Верхнеднепровск,rescued,1943-10-22,48.649772426607,34.330483883076
502,Ветка,occupied,1941-08-18,52.3333,31.1051
503,Ветка,rescued,1943-09-28,52.3333,31.1051
504,Вижница,occupied,1941-07-06,48.25,25.19167
505,Вижница,rescued,1944-03-31,48.25,25.19167
506,Выборг,occupied,1941-08-30,60.710496,28.749781
507,Выборг,rescued,1944-06-20,60.710496,28.749781
508,Вилейка,occupied,1941-06-25,54.48333,26.91667
509,Вилейка,rescued,1944-07-02,54.48333,26.91667
510,Вилково,occupied,1941-07-23,45.39917,29.59361
511,Вилково,rescued,1944-08-24,45.39917,29.59361
512,Вильнюс,occupied,1941-06-24,54.68333,25.28333
513,Вильнюс,rescued,1944-07-13,54.68333,25.28333
514,Вильянди,occupied,1941-07-09,58.36667,25.6
515,Вильянди,rescued,1944-09-23,58.36667,25.6
516,Виляны,occupied,1941-07-02,56.55278,26.92528
